auteur;opinion;commentaire;note;date
Coralie  Daufresne;Gros coup de coeur !;C'est la 3eme semaine que je commande.Finie la charge mentale des courses et du choix des repas. Des recettes dont je n'aurai jamais eu l'idée et surtout excellentes. Assez copieux : c'est une très bonne surprise car j'avais des doutes.Je recommande sans hésiter.A voir si Hello Fresh augmentera les prix sur la longueur et si cela vaut toujours le coup.;4; 15 juillet 2023
Mm;Produits périmés;Produits manquants, légumes moisis et pourris. Salades et aromates tu toujours fortement écrasées au fond du cartons. Service de livraison irrespectueux;5; 29 juin 2023
Annabelle Charnay;Les plats sont bien par contre les dlc trop courte…;Les plats sont bien par contre les dates limites de consommation sont très très courte oblige de tout manger rapidement et on ne peut même pas recongeler comme c'est des produits décongelé donc très déçu;1; 13 juillet 2023
Sébastien  VALLOD;Je suis déçue de cette fois car je n'ai…;Je suis déçue de cette fois car je n'ai reçu aucun email prévenant de la commande, et de vérifier les plats avant. Ce qui d'habitude vous faisiez.J'arrête donc l'abonnement;3; 12 janvier 2023
Vanessa Gomes de oliveira;J’ai testé hello fresh grâce à un ami…;J’ai testé hello fresh grâce à un ami et je trouve ça génial Les recettes sont simples et très bonnes.Je trouve néanmoins que dans les portions, il y’a trop de féculents et pas assez de légumes Et quelques propositions de recette sans gluten seraient appréciables;1; 11 juillet 2023
Martine ROLLIN;Hello fresh... j'achète !;Un super concept..plats succulents et équilibrés.. recette jointe à faire soi même.... ingrédients bio.. agriculture raisonnée.. emballage super sympa.. tout me plaît !!👍;4; 04 novembre 2022
Mauvaise expérience;Mauvaise expérience;Semaine avec la coriandre et la salade abîmée, cerise sur le gâteau je me suis arrangée pour rester à la maison depuis ce matin !!!! Je viens de recevoir un mail comme quoi ma box sera livrée demain quand je serai au bureau et du coup rien pour ce soir, je vais devoir aller faire des courses.;3,5; 22 juin 2023
Nathalie Cros;De faire plaisir à se retrouver à une vente forcée;J'ai voulu faire plaisir à une proche en lui offrant des box HelloFresh. Elle a apprécié ses box. Mais alors que je veux arrêter l'abonnement je ne peux pas. J'ai beau suivre les indications il y a des éléments qui n'apparaissent pas sur mon compte et qui ne me permet pas de résilier ma box. Il est dommage qu'un service de telle qualité finissent par de la vente forcée. Je le regrette car la personne à qui j'ai fait ce cadeau on est très contente.;1; 01 juillet 2023
Aurélie Sce;100% satisfaits;Nous aimons beaucoup HelloFresh pour la simplicité que cela représente la semaine. Oui, nous cuisinons et devons avoir ce temps la de disponible, mais les recettes sont toutes trouvées, les produits sont bons et les accords, parfois originaux. Il y a du choix dans les recettes et les portions sont clairement généreuses. En prenant des plats pour 2 personnes, nous mangeons facilement à 3 dessus selon les recettes ou pour plusieurs fois.;3; 10 juillet 2023
Philippe HERARD;Vraiment très pratique;Vraiment très pratique. Tous les ingrédients sont dans chaque box aux quantités voulues. Juste les légumes à préparer en découpe et ensuite en cuisine. Début qu’on a débuté cela nous a permis de manger varié équilibré et avec des saveurs que l’on avait pas forcément l’habitude de manger.;5; 25 juin 2023
Valentin Requena;Commande non reçu;Bonjour, a ce jour je n'ai toujours pas reçu ma commande qui étais programmée jeudi. J'espère ne pas recevoir un colis avec des produit périmé. Merci de me tenir informé.;5; 11 juillet 2023
Alexandra;Livraison très rapide;Livraison très rapide, livreur très gentil. Ingrédients frais, emballage impeccable. Les recettes nous ont beaucoup, beaucoup plus, on est ravis et convaincus. On continuera !;1; 04 juillet 2023
cathy michel;J'adore le concept;J'adore le concept. Avec les promo c'est intéressant. A voir après avec les tarifs définitif. Ca donne des idées et des nouvelles recettes à consommer.;5; 03 juillet 2023
Zuzanna ROQUE;Très pratique, mais parfois répétitif;"J'apprécie le côté pratique de tous les ingrédients d'un repas livré chez vous. Mes ados aiment préparer les recettes: le fait que tout soit expliqué en images et facile à suivre est très appréciable!Par contre, les recettes sont un peu répétitives à mon goût; on se lasse un peu des saveurs souvent similaires. Après 2 ans d'utilisation, je commence à espacer mes livraisons, mais je reste abonnée!";5; 10 juillet 2022
Sandie Padet;Satisfaite dans l ensemble des…;Satisfaite dans l ensemble des recettes. Même si marque certains ingrédients et que je ne peux pas le stipuler sur l' appli.Mais beaucoup moins satisfaite dans la livraison des box!!! Sa fait quelques mois que je fonctionne avec hellofresh et depuis un certain temps j'ai des soucis de livraison très souvent reporté au lendemain, donc quelle intérêt de choisir le jour de livraison !!?? Déçu.;4; 12 juillet 2023
J. M.;Laissez vous tenter;Je trouve les recettes agréablement bonnes et faciles à faire, avec de bons produits.Toutefois j'ai eu un produit défectueux que j'ai signalé et n'ai eu aucun retour, dommage car je suis obligée de racheter la viande pour compléter la recette;3; 09 juillet 2023
Fanny ;Hello la vie gourmande et facile !;Un gain de temps considérable ! Le choix est assez large pour les recettes, et  faciles à réaliser. Le service client est très réactif, avoir une réponse claire et rapide est très appréciable. Je n'ai rein à redire sur la fraicheur des produits. Il n'y a pas encore la possibilité de choisir 1 personne pour une box, mais il suffit de diminuer les nombre de repas par semaine. Le site et l'application sont faciles d'utilisation, un vrai plaisir d'avoir souscris cet abonnement !;4; 30 juin 2023
Carole  Roulette;Simple et facile;Site facile d'utilisation, prix corrects, recettes faciles à suivre, 1ère box avec parrainage avantageuse.Par contre nous ne connaissons pas la provenance des produits et nous avons un jour imposé pour la livraison ce qui est compliqué quand on travaille;4; 05 juillet 2023
Perrine ;Satisfait des produits;Satisfait des produits, cependant je trouve dommage de payer un supplément pour être livré pendant une tranche d heure car je travail et que la livraison ´ est pas effectué pendant cette tranche d heure du coup ma livraison se retrouve dehors avec cette chaleur ! De plus j aimerais pouvoir choisir une livraison tte les deux semaines et non tte les semaines ! Je ne pense pas continuer avec hello fresh!;5; 04 juillet 2023
Valérie Kostoj;Pas de réponse du service client à un problème rencontré;Les recettes sont variées et faciles à réaliser. Nous sommes globalement satisfaits. Nous avons cependant eu deux soucis de qualité (pain moisi et poivron abîmé). J'ai utilisé le système indiqué du service clients pour laisser l'information, notamment pour le problème du pain moisi (messages, photo) mais je n'ai eu aucun retour du service...;3; 01 mai 2023
Flora Henny;Mauvaise surprise;Après avoir bien mit en pause mon abonnement je vois avec surprise sur mon compte que j'ai eu un prélèvement,et en allant voir sur le site j'apprecoit que je vais de nouveau recevoir une box (malheureusement la veille pour le lendemain donc aucun moyen d'annuler). Mais je n'ai surtout reçu aucun message/mail/notification de la part de Hello Fresh concernant tout ça pour prévenir de cette affaire! Résultat,je vais prendre cette dernière box car pas trop le choix mais après je résilier,comme ça,plus de surprise;3; 10 juillet 2023
Mr vuylsteke ;je reçois des livraisons (à ce jour 2)…;je reçois des livraisons (à ce jour 2) sans avoir passé commande ? Donc pas vraiment satisfaite !C'est dommage, sinon les recettes sont sympas, mais parfois demande un peu trop de temps de préparation;2; 12 juillet 2023
Clémence de Maransange;Je suis déçu;J'aimais beaucoup hellofresh mais la dernière box m'a déçu. Les légumes étaient tout petits.Les quantités et la qualité ne sont plus les même depuis 1 mois ou 2 et pourtant ils ont augmenté leur prix donc c'est un peu abusé.;1; 06 juillet 2023
CLÉMENT LASSERRE;Produits de bonne qualité;Produits de bonne qualité, livraison rapide et efficace. Cependant, l'automatisation du choix des plats et un peu contraignant quand on est en retard dans l'organisation de notre semaine... De plus, ne pouvoir annuler la livraison que sur 3 semaine est un peu short car lors des congés l'absence peut être de plus de 3 semaine...;3; 08 juillet 2022
Fernandez Celine;Décevant!!!;Sur l'ensemble de la prestation, j'ai fait face à 2 produits manquants et un produit de mauvaise qualité.Ma réclamation a été partiellement traitée. Aussi à ce stade, je ne recommande pas hellofresh et ai décidé de suspendre mon abonnement.;4; 22 juin 2023
David Ruaud;Des plats savoureux, variés et sans la contrainte des courses ni des choix des recettes.;Les plats sont savoureux et bien dosés. Un bon service pour s'enlever la contrainte de faire les courses et même résout le manque d'inspiration. Les plats sont variés et on peux facilement réduire sa consommation de viande sans s'en rendre compte et sans soucis.Seul point négatif, la gestion de la mise en pause de l'abonnement en cas de nécessité de pause prolongée.;2; 21 juin 2023
Christel  Zamora;Très bonne expérience;Très bonne expérience, même s'il manque un ingrédient a chaque colis Les recett s pourraient être un peu variées, certaines reviennent très fréquemment.;3,5; 08 juin 2023
Line;Bonne expérience;Bonne expérience. Recettes délicieuses. Quantités adaptées. Produits de qualité. Toutefois rigidité dans le choix du jour de livraison pas facile pour s’organiser quand on travaille.;4; 02 juillet 2023
Jérémy M;Service réclamation absent;Bonjour, Après avoir déposé un avis négatif sur Trustpilot, hellofresh me demande d’entrer en contact avec eux via Instagram en message privée à l’attention de Jade.Chose faite dans la foulée.A ce jour toujours pas de retour. sur i;5; 07 juillet 2023
Katia;Deuxième essai la loose...;Deuxième essai, on s’était dit que le premier avait droit à l'erreur !!4 repas commandé, 2 nickels, le troisième cuisse de poulet avarié... donc pas de repas ce soir à part les légumes !!! je pense que les espèces de glacières chronopost ne sont pas au niveau de la chaine du froid et mériteraient d'ailleurs un signalement a la répression des fraudes et de la consommation, (comme les livraisons d'ailleurs, ma fille en fait les frais quasi toute les semaines(oui elle persiste à commander des repas qu'elle reçoit jamais), mais le conseillé hello fresh lui à dit au téléphone faudra vous y habituer !! on va vous rembourser (c'est pas une plaisanterie).En dehors de la remarque chronopost, DLC du poulet au 13.07 commande recu le 6.07, ce qui nous donne une DLC hello frech 7 jours !!!! regarder bien les dates si vous voulez manger !!! sinon vous allez tombé malade.On est inquiet pour le repas qui était prévu demain, je pense qu'on va le jeter dans le doute !!!Résultat des courses désabonnement sur le champ et plus jamais on m'y reprendra, aller faire vos courses vous même et cuisiner vous gagnerez de l'argent, du temps et de l’énervement....;1; 13 juillet 2023
Adeline;Plaisir sans les ennuis;Produits frais, les prix sont très attractifs pour le nombre de repas.. cela me permet de manger équilibré sans passer trop de temps à faire les menus et les courses.. un super gain de temps et on se fait plaisir en mangeant de supers repas!!! J'adore;1; 29 juin 2023
Emma Der Aprahamian;Pas livrée;Pour donner mon avis il faudrait que je sois livrée ! Reporté au lendemain, puis deux jours plus tard, tout ça sans me prévenir, pour moi c'est fini !;5; 07 février 2023
FLORIAN ALESSANDRI;Soucis de livraison…;Suite a plusieurs soucis de livraison le samedi, le téléconseiller commence pas nous proposer d'annuler tout bonnement et de nous rembourser... Ce n'est pas comme ça que vous allez garder des clients... Il a fallu que je propose moi même une solution de rétention. Rembourser les frais de livraison (surcoût pour le samedi). Je trouve ça moyen...;1; 21 décembre 2022
François B;Les portions sont devenues très chères…;"Les portions sont devenues très chères pour la qualité des ingrédients fournis. La quantité est correcte, mais il y a de moins en moins de viande ou de poisson proposés ; les légumes et fruits sont rarement de premier choix.";2; 05 octobre 2022
MACHAY DOMINIQUE;"Je veux aussi recevoir mais factures.""Par Mails""";Je demande à HelloFresh d'espacer les envois à 1 envois par mois .je ne vais pas utilisez tout pendant l'été.;2; 30 juin 2023
Nino David;Les recettes sont très bonnes et nous…;Les recettes sont très bonnes et nous permettent de connaître de nouveaux aliments, je n'avais jamais goûter à l'orzo par exemple.Les temps de cuisson sont toujours parfait.En revanche les préparations sont parfois un peu trop longues. Il faut s'y prendre une heure à l'avance et la motivation n'est pas toujours là.;4; 04 janvier 2023
Gaelle ;Conquise par Hello fresh;Conquise par Hello fresh ! Expérience en cuisine, équivalent à zéro... Mon objectif de l'année me mettre à cuisiner. Mon frère me souffle l'option, et go ! Les box sont agréables à recevoir. Les recettes de saison. Ludique dans la cuisine, pour au final faire plaisir à tout le monde et être fière de soi-même.Petit plus, produit français.;5; 17 avril 2023
sabine debos;Dégradation du service;Cliente HelloFresh depuis plus d’un an, je faisais au départ partie des clients promoteurs. Mais depuis quelques semaines le service se dégrade : produits manquants dans plusieurs repas, qualité douteuse (basilic fané, oignons pourris), quant à la livraison n’en parlons pas… régulièrement la livraison est décalée aux jours suivants. L’incompétence de Chronopost est connue, il serait temps de changer de prestataire.;5; 10 juillet 2023
Ophélie Henry;Plutôt pas mal;Vraiment bien mais ce serait génial de pouvoir changer quelques ingrédients (comme la coriandre avec du persil ou des cacahuètes avec des amandes..) en fonction dés goût ou des allergies. Cela éviterais de gaspiller à chaque fois.;2; 08 mars 2023
SYLVIE JOUVENAUX;Certaines recettes envoyées…;Certaines recettes envoyées automatiquement faute d'avoir eu le temps de choisir OK mais vu le prix, envoyer des croques pour 3  alors que le coût d'un repas est de 19 e pour 3 avec coût livraison c'est abuséD'autant petites tartines 1/2 tranche de jambon par croque aucun goûtJambon de mauvaise qualitéQuand je choisis recette impression de moins me faire avoir;4; 31 mai 2023
Céline Robine;Bien;Bon principe mais à améliorer , les recettes ne sont pas toujours équilibrés en quantités, parfois certains produits sont limites en dates , de plus les modifications sur les menus de ma prochaine box (11 juillet )  n’ont pas été enregistrés correctement résultats je reçois 4 menus qui ne nous conviennent pas , y aurait il eu un bug ?  le résultat sera du gâchis . Malgré tout les points positifs , c’est copieux les fiches recettes sont très bien faite et globalement c’est bon , et la livraison est ponctuelle . Une bonne alternative sur quelques dîners dans la semaine .;2; 18 mai 2023
Marie  Chris;Vos recettes sont parfois trop salées…;Vos recettes sont parfois trop salées (soja sauce). Il manque parfois des ingrédients. Les préparations sont assez longues mais à la sortie les différents ingrédients font une bonne recette ça se paye ! Je souhaiterai des recettes plus « vertes ». Plus légères ! Trop  de recettes à base de pâtes ! Voilà !;3; 22 février 2023
Dedidou;Bon produit bonne idée;Bonjour commande avec la remise de 90€. J'ai choisi 5 repas mais je trouve le temps de préparation long. Le fait de tout recevoir est top, les aliments sont top. Les recettes sont parfois speciales et je devais rajouter de l'argent pour certaine recette je n'ai donc pas pris comme c'était un essai et que je ne connaissais pas du tout le principe. Je pourrai me laisser charmer quand les enfants seront un poil plus grand;4; 02 juillet 2023
Cassandra QUILLET;Bien dans l'ensemble mais il la…;Bien dans l'ensemble mais il la derniere fois que j'ai fait appel à l'assistance pour déplacer une livraison celle ci a été prise en compte mais le livreur n'en a pas été informé et je n'ai pas reçu de mail et de sms pour avoir le créneau de passage. C'est le livreur qui m'a appeler lors de sa livraison alors qu'il était devant chez moi qui m'a proposé de le décaler au lendemain;4; 11 octobre 2022
OLIVIER Francisca;PORTIONS DE VIANDE PETITE;EN GENERAL BIEN (FRAICHEUR - INDICATION...)MAIS PORTIONS DE LA VIANDE TROPS PETITES;3; 23 juin 2023
Margaux Petit;Baisse qualité de service;Bonnes recettes et concept très intéressant. Nous utilisons HelloFresh depuis longtemps. Cependant, ces derniers temps, plusieurs manques de produits ou ouverts dans le carton à la réception. Sans parler de 2 colis coup sur coup que je n’ai jamais reçu. En conséquence, des produits inutilement jetés et une organisation personnelle à revoir. En contactant le SAV, pas toujours très cordiales, qui ne proposent aucun geste commercial après ce lourd désagrément. Si : un avoir que je ne peux pas utiliser puisque je ne reçois pas mes produits ! En revanche, débiter les frais de livraison avant l’arrivée du colis, c’est quelque chose qui marche !Peu satisfaite d’un service qui s’est bien dégradé. Dommage, nous arrêtons dès ce jour d’utiliser HelloFresh..;4; 07 juillet 2023
Phéline BRASLERET;Livraison déplacée sans mon accord;J'attendais la commande jeudi, je suis restée à la maison toute la journée et la livraison a été déplacée au lendemain sans même m'avoir consulté. J'étais assez agacée par la situation et ce n'est pas la première fois;3,5; 26 mars 2023
Mélodie Naviaux;Gain de temps et d’argent quotidien;Plus de courses à faire plus de casse-tête à choisir quand manger ou quoi, tout est prêt tout arrive à la maison, rarement plus de 30 minutes c’est que le bonheur;3; 05 juillet 2023
Peyronel;Hello Fresh le fantôme;Si vous voulez attendre 2 jours d’affilée, enchaînée chez vous pour à la fin ne pas être livrée…. Vous êtes à la bonne adresse. Certes ils vous re créditent ( encore heureux). Mais de nouveau vous passez livraison et le même manège recommence. La plate forme de Hello Fresh est insipide, les remontées pour les dysfonctionnements de ChronoFresh service intermédiaire de livraison ( basée à l’Ile Maurice) est peuplée de gens inefficaces. La plate forme de Dijon ( basée a 200km) fait ce qu’elle veut sans en informer le destinataire. Certes les menus sont bien, mais vous cuisinez du vent puisque vous n’êtes pas livré.  Donc passez votre chemin, cela vaut mieux pour vos nerfs et le coût carbone de la planète ! 2 livraisons non reçues, des barquettes menu mélangées car livrées à l’envers, des légumes douteux…;5; 05 juillet 2023
Patricia Lukowiak;Moi je n'aime pas cuisiner et avec…;Moi je n'aime pas cuisiner et avec hello fresh j'ai appris à aimer la cuisine . Les recettes sont faciles à faire , tous les ingrédients sont fournis , c'est un réel plaisir de cuisiner . Et en plus on se régale car c'est bon.;1; 10 décembre 2022
Elisa REIMINGER;En soit les recettes sont excellentes…;En soit les recettes sont excellentes mais ces dernières semaines la date de péremption des produits est bien trop courte Je reçoit mes box le mercredi ( seul jour où la livraison est possible pour moi) et souvent le weekend les aliment tel que viande ou poisson sont périmée;5; 08 mars 2023
Blandine Depoorter;Produits abîmés..;Produits abîmés... et qui se gâtent très vite. Mauvaise expérience sur une box, ça me fait hésiter pour en recommencer d'autres;3; 26 juin 2023
Catherine S.;Service très appréciable;Service très appréciable, qui permet de donner des idées de repas et les réaliser pas à pas sans difficulté. Produit frais   Livraison fiable.;2; 17 octobre 2022
Lydie Labrosse;Avec l'addition d'épices;"Avec l'addition d'épices , des aliments courants ont une saveur tout à fait différente et c'est appréciable.Seuls bémols: les salades ne sont pas excellentes; de plus je ne comprends pas que l'huile, le sel , le poivre , le vinaigre ne soient pas fournis: parce que si on ajoute le prix d'un bouillon de légumes , de l'électricité du four ( je pense que peut-être on pourrait trouver d'autres modes de cuisson ), la facture n'est plus la même";5; 19 février 2023
CHRISTIAN MARTIN;Du temps de gagné;Les commandes Hello fresh présentent pour nous l'avantage de ne plus perdre de temps en courses alimentaires mais aussi d'avoir toujours des idées de recettes pour la semaine. Après il est vrai que selon les goûts de chacun certains n'apprécient pas les mets il qu'il faut quand même prévoir une idée de secours.;4; 14 février 2023
Ssmlgl;Je me suis désabonné;Je me suis désabonné, j’ai reçu ma dernière box aujourd’hui et j’ai pu m’apercevoir que encore une fois je n’ai pas reçu mes 2 tablettes de chocolats en cadeau qu’ils avaient déjà prévu de m’offrir à la précédente box. Leurs soit disant cadeau c’est du blabla. Voilà.;4; 06 juillet 2023
Justine Kerbaul-Brizard;Tout a bien commencé;Tout a bien commencé, j y étais depuis novembre 2022, c était top, très pratique, avec de bons produits. Mais depuis le printemps, beaucoup de problèmes de livraions( ca arrive donc je laisse couler), ne recois que deux recette sur trois car la 3eme à étévictime de son succès(mais on est prevenu que le jour mêmede la livraison!), et dernièrement, il manquait un ingrédient principal dans une des recettes(je l ai notifié mais aucun remboursement n a eu lieu), puis notre box n a pas du tout etait livrée, obligée de les contacter, de demander un remboursement et d en profiter pour annuler l abonnement.Aujourd'hui je reçois un message comme quoi ma box va être livrée dans la journée alors que mon abonnement est sensé être arrêté !Je demande donc un geste commercial car il faut payer cette box!Non tout est refusé !!Alors je trouve ça vraiment dommage.;1; 08 juillet 2023
Mélissa Agaësse;Bien mais système d’abonnement à revoir;Ok, c’est super, il y’a de très bonnes recettes, la livraison est complète, les livreurs sont sympas. Mais depuis que j’ai commencé à commandé hellofresh je ne m’attendais pas à ce qu’il prenne ma cb en otage comme ça, leur système d’abonnement n’est pas clair, je vais être obligé de me désabonner, c’est dommage;2; 07 juin 2023
Ma;J'ai trouvé le concept bien alors j'ai…;J'ai trouvé le concept bien alors j'ai voulu commander 3 repas, quand j'ai reçu ma commande il manquait plusieurs ingrédients dans ma commande dont des éléments principaux comme la viande !!! Une honte vu le prix des boxs.... je recommanderai jamais et vraiment déçu ! Faites attention;3; 01 juillet 2023
Louis YOSHIDA;Concept intéréssant et ludique;Je trouve le concept intéréssant. La qualité des menus proposés et les produits sont à mes attentes mais je note toutefois qu'il arrive fréquemment qu'il manque des produits dans les lots. Le SAV est au top ils prennent en compte les oublis et me rembourse rapidement mais c'est dommage que ça se répète (1 fois sur 4 en moyenne il y'a des oublis sur ma commande). A part ça ma famille se régale des menus proposés et je trouve un réel plaisir à cuisiner alors qu'avant je le faisais pas trop.;1; 03 juillet 2023
Stephane Allio;Très  satisfaite;Très  satisfaite, un délice,produits  frais merci à vous je vais en parler autour de moi;3; 12 juin 2023
Eva HASCOET;Recette risotto crémeux au fenouil et à…;Recette risotto crémeux au fenouil et à la saucisse  mal expliquée ..Tout n’est pas bien expliqué Le riz n’est pas du riz à risotto .. Pourquoi mettre des saucisses pour ensuite enlever la peau ? Chair à saucisses serait mieux ..;5; 30 mars 2023
IDA LEPAGE;C'est extrêmement pratique !;C'est extrêmement pratique !Livré chaque semaine, possibilité de changer les recettes proposées, moi qui suis nul en cuisine j'y arrive! Les repas sont absolument délicieux, variés avec de la cuisine du monde, traditionnelle etc ...Je suis ravie !;2; 20 juin 2023
Valerie Meric;Bonjour;Bonjour Dans les premiers colis les aliments (viande poulet crevettes) étaient accompagnés de poches de glace…Mais depuis les deux derniers colis ils n’y en a plus!!!Merci de bien vouloir faire le nécessaire à nouveau, car je travaille et je ne peux mettre mes aliments au frais dès réception de mon colis !!!!Merci;5; 06 mars 2023
loriane BRUYERE;Payer 14 e pour une recette en…;Payer 14 e pour une recette en supplément de l’abonnement sachant que l’abonnement coûte déjà 50e14 e en supplément car j’ai choisie une recette surclassé qui était très mal indiqué Déçue je recommande pas du tout Et lorsque j’appelle le service client. On me répond que c’est trop tard . Je ne recommanderais plus malgré le fait que j’étais une bonne cliente. Je déconseille ++ L’épice a 14 euros j’ai du mal à y croire;3; 11 juillet 2023
Florianne Hello;Très mitigé pour la première box;La livraison est bien, les plats chaud sont corrects, Les fruits et légumes frais ne sont pas en bon états suite à la livraison (tomates écrasées, courgettes cassées) ceux qui oblige a réaliser toutes les recettes d'un coup, Les recettes de salades avec des feuilles de salades sont vraiment mauvaise (terme de rapport qualité - prix);1; 21 juin 2023
Mickael;Mauvais suivi;Mes 2 premières commandes ne sont jamais arrivées, si je n'avais pas appelé moi-même je n'aurais même pas su que je ne les aurais jamais vues.;3,5; 20 juin 2023
SEB;Expérience moyenne;Je reçois bien ma box dans les délais. En revanche, j'ai régulièrement des produits manquants. Il m'est arrivé par 2 fois d'avoir des denrées pas très fraîches comme du pain de mie contenant des moisissures pour des croques montagnards.;1; 26 juin 2023
